variant,run,AP_AULC
E1_TARGET_RUT,0,0.9042235937082234
E1_TARGET_RUT,1,0.9130076299362714
E1_TARGET_RUT,2,0.9131434362580926
E1_TARGET_RUT,3,0.9088607115946585
E1_TARGET_RUT,4,0.9048911400957702
E1_TARGET_RUT,5,0.9058832749929042
E1_TARGET_RUT,6,0.9095719473414614
E1_TARGET_RUT,7,0.9005456108017138
E1_TARGET_RUT,8,0.9117499994537779
E1_TARGET_RUT,9,0.9126022783598664
R0,0,0.8920120037221158
R0,1,0.8952652226816042
R0,2,0.8997187721585496
R0,3,0.8906116923848768
R0,4,0.9018512935667281
R0,5,0.8922389138469041
R0,6,0.8902466444262251
R0,7,0.8919393139362009
R0,8,0.9026274422049798
R0,9,0.888338742042947
RUT,0,0.9173387472169274
RUT,1,0.9218247203958241
RUT,2,0.9210797411881044
RUT,3,0.9175914051636276
RUT,4,0.9144165321482528
RUT,5,0.916402418075515
RUT,6,0.9208849841360001
RUT,7,0.9211913564028165
RUT,8,0.9308018130786779
RUT,9,0.9168256283424643
